판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,판결요지,선고,판례상세링크
115606,이혼등,96므912,1997.08.22,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=115606&type=HTML&mobileYn=
115471,이혼,96므318,1997.07.22,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=115471&type=HTML&mobileYn=
120411,이혼등,96드1493,1997.06.27,청주지방법원충주지원,가사,400103,판결：확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=120411&type=HTML&mobileYn=
115142,이혼,97므155,1997.05.16,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=115142&type=HTML&mobileYn=
222151,"혼인무효,이혼및위자료등",96드49128,1997.04.17,서울가정법원,가사,400103,판결：확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=222151&type=HTML&mobileYn=
222199,이혼,96르1222,1997.04.16,서울가정법원,가사,400103,판결：확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=222199&type=HTML&mobileYn=
222127,이혼및재산분할등,96드27609,1997.04.03,서울가정법원,가사,400103,판결：항소화해,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=222127&type=HTML&mobileYn=
222201,이혼및친권자지정,96드56454,1997.04.02,서울가정법원,가사,400103,판결：확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=222201&type=HTML&mobileYn=
114949,이혼,96므608,1997.03.28,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=114949&type=HTML&mobileYn=
114702,이혼등,95므1413,1997.01.24,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=114702&type=HTML&mobileYn=
114653,이혼,95므1192,1996.12.23,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=114653&type=HTML&mobileYn=
114464,이혼및위자료,96므851,1996.11.15,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=114464&type=HTML&mobileYn=
114396,이혼및위자료,96므1243,1996.11.08,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=114396&type=HTML&mobileYn=
114395,이혼,96므998,1996.11.08,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=114395&type=HTML&mobileYn=
223201,이혼,96드35501,1996.08.21,서울가정법원,가사,400103,판결：확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=223201&type=HTML&mobileYn=
120304,이혼무효확인,96드5333,1996.07.16,서울가정법원,가사,400103,판결：확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=120304&type=HTML&mobileYn=
113878,이혼등,94므741,1996.06.25,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=113878&type=HTML&mobileYn=
113585,이혼,96므226,1996.04.26,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=113585&type=HTML&mobileYn=
223273,이혼및위자료등,95드18004,1996.04.17,서울가정법원,가사,400103,판결：항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=223273&type=HTML&mobileYn=
120189,이혼및친권자지정,95드58781,1996.03.29,서울가정법원,가사,400103,판결：확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=120189&type=HTML&mobileYn=
113213,이혼및양육자지정등,94므635,1996.02.09,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=113213&type=HTML&mobileYn=
113022,이혼및친권자지정등,95므861,1995.12.22,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=113022&type=HTML&mobileYn=
112658,이혼,95므175,1995.10.12,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=112658&type=HTML&mobileYn=
112659,이혼및재산분할등,95므267,1995.10.12,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=112659&type=HTML&mobileYn=
120087,이혼,94드50629,1995.08.29,서울가정법원,가사,400103,판결：항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=120087&type=HTML&mobileYn=
112379,이혼및재산분할등,94므1515,1995.08.25,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=112379&type=HTML&mobileYn=
111971,이혼등,95므90,1995.05.26,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=111971&type=HTML&mobileYn=
111970,"이혼및재산분할,이혼및위자료등(반소)",94므1713,1995.05.23,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=111970&type=HTML&mobileYn=
111847,이혼등,94므536,1995.04.25,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=111847&type=HTML&mobileYn=
119998,이혼및위자료등,94드4454,1995.04.20,대구지방법원,가사,400103,판결：항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=119998&type=HTML&mobileYn=
208752,이혼,94므1225,1994.12.23,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=208752&type=HTML&mobileYn=
111220,이혼및위자료,94므598,1994.12.13,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=111220&type=HTML&mobileYn=
111219,이혼등,94므1072,1994.12.02,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=111219&type=HTML&mobileYn=
111218,"이혼및재산분할등,이혼등",94므901,1994.12.02,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=111218&type=HTML&mobileYn=
111144,"이혼및친권자지정,이혼및위자료",94므826,1994.11.25,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=111144&type=HTML&mobileYn=
111038,이혼등,94므963,1994.11.11,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=111038&type=HTML&mobileYn=
110954,이혼및재산분할,94므246,1994.10.28,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=110954&type=HTML&mobileYn=
110953,이혼등,94므734,1994.10.25,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=110953&type=HTML&mobileYn=
